Designator,Mid X,Mid Y,Rotation,Layer
C18,27.74,-26.29,270.0,top
D3,35.3,-30.6175,90.0,top
F1,43.0715,-28.13005,0.0,top
J6,37.94,-17.575,180.0,top
J8,37.94,-36.52,0.0,top
R10,30.44,-24.67005,90.0,top
R11,45.44,-24.67005,90.0,top
R9,26.24,-26.29,90.0,top
U4,37.952461,-30.537661,270.0,top
U5,32.64,-30.465513,90.0,top
