Designator,Footprint,Quantity,Value,LCSC Part #
"CH10, CH11, CH12, CH13, CH14, CH15, CH16, CH17, CH18, CH20, CH8, CH9",SW_choc_v1_HS_1u,12,choc_SW_HS,C5333465
J5,TE_1-84953-4_1x14-1MP_P1.0mm_Horizontal,1,FFC Connector,C376047
